train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/yahoo.bsize201.epoch150.seqlen16.random.present0.5.partition2.hidden1024/
step:18601 source:(201, 18) loss:4.1838 lr:0.000125
step:18801 source:(201, 18) loss:4.24244 lr:0.000125
step:19001 source:(201, 18) loss:4.30134 lr:0.000125
step:19201 source:(201, 18) loss:4.30622 lr:0.000125
step:19401 source:(201, 18) loss:4.1989 lr:0.000125
step:19601 source:(201, 18) loss:4.20718 lr:0.000125
step:19801 source:(201, 18) loss:4.29028 lr:0.000125
epoch:40 test_present_rate:0.5 test_bleu:42.29392111301422 template_bleu:41.55013859272003
step:20001 source:(201, 18) loss:4.26415 lr:0.000125
step:20201 source:(201, 18) loss:4.24449 lr:0.000125
step:20401 source:(201, 18) loss:4.30202 lr:0.000125
step:20601 source:(201, 18) loss:4.22205 lr:0.000125
step:20801 source:(201, 18) loss:4.29748 lr:0.000125
step:21001 source:(201, 18) loss:4.09704 lr:0.000013
step:21201 source:(201, 18) loss:4.14191 lr:0.000013
step:21401 source:(201, 18) loss:4.20206 lr:0.000013
step:21601 source:(201, 18) loss:4.17392 lr:0.000013
step:21801 source:(201, 18) loss:4.13152 lr:0.000013
step:22001 source:(201, 18) loss:4.12147 lr:0.000013
step:22201 source:(201, 18) loss:4.13634 lr:0.000013
step:22401 source:(201, 18) loss:4.15983 lr:0.000013
epoch:45 test_present_rate:0.5 test_bleu:42.34282374382019 template_bleu:41.531434655189514
step:22601 source:(201, 18) loss:4.21188 lr:0.000013
step:22801 source:(201, 18) loss:4.13212 lr:0.000013
step:23001 source:(201, 18) loss:4.14224 lr:0.000013
step:23201 source:(201, 18) loss:4.15985 lr:0.000013
step:23401 source:(201, 18) loss:4.1417 lr:0.000013
step:23601 source:(201, 18) loss:4.09188 lr:0.000013
step:23801 source:(201, 18) loss:4.15585 lr:0.000013
step:24001 source:(201, 18) loss:4.09486 lr:0.000013
step:24201 source:(201, 18) loss:4.10834 lr:0.000013
step:24401 source:(201, 18) loss:4.13162 lr:0.000013
step:24601 source:(201, 18) loss:4.14136 lr:0.000013
step:24801 source:(201, 18) loss:4.10364 lr:0.000013
epoch:50 test_present_rate:0.5 test_bleu:41.902247071266174 template_bleu:41.16407632827759
step:25001 source:(201, 18) loss:4.12805 lr:0.000013
step:25201 source:(201, 18) loss:4.18871 lr:0.000013
step:25401 source:(201, 18) loss:4.15875 lr:0.000013
step:25601 source:(201, 18) loss:4.13015 lr:0.000013
step:25801 source:(201, 18) loss:4.16072 lr:0.000013
step:26001 source:(201, 18) loss:4.13484 lr:0.000013
step:26201 source:(201, 18) loss:4.14699 lr:0.000013
step:26401 source:(201, 18) loss:4.16537 lr:0.000013
step:26601 source:(201, 18) loss:4.19311 lr:0.000013
step:26801 source:(201, 18) loss:4.22959 lr:0.000013
step:27001 source:(201, 18) loss:4.13879 lr:0.000013
step:27201 source:(201, 18) loss:4.16384 lr:0.000013
epoch:55 test_present_rate:0.5 test_bleu:42.07699000835419 template_bleu:40.976640582084656
step:27401 source:(201, 18) loss:4.16362 lr:0.000013
step:27601 source:(201, 18) loss:4.14351 lr:0.000013
step:27801 source:(201, 18) loss:4.09944 lr:0.000013
step:28001 source:(201, 18) loss:4.15388 lr:0.000013
step:28201 source:(201, 18) loss:4.21383 lr:0.000013
step:28401 source:(201, 18) loss:4.12106 lr:0.000013
step:28601 source:(201, 18) loss:4.14752 lr:0.000013
step:28801 source:(201, 18) loss:4.12642 lr:0.000013
step:29001 source:(201, 18) loss:4.18737 lr:0.000013
step:29201 source:(201, 18) loss:4.16657 lr:0.000013
step:29401 source:(201, 18) loss:4.16834 lr:0.000013
step:29601 source:(201, 18) loss:4.10204 lr:0.000013
step:29801 source:(201, 18) loss:4.1995 lr:0.000013
epoch:60 test_present_rate:0.5 test_bleu:42.303019762039185 template_bleu:41.33932888507843
step:30001 source:(201, 18) loss:4.09922 lr:0.000013
step:30201 source:(201, 18) loss:4.17221 lr:0.000013
step:30401 source:(201, 18) loss:4.14064 lr:0.000013
step:30601 source:(201, 18) loss:4.1006 lr:0.000013
step:30801 source:(201, 18) loss:4.15883 lr:0.000013
step:31001 source:(201, 18) loss:4.18137 lr:0.000013
step:31201 source:(201, 18) loss:4.17461 lr:0.000013
step:31401 source:(201, 18) loss:4.20644 lr:0.000013
step:31601 source:(201, 18) loss:4.16918 lr:0.000013
step:31801 source:(201, 18) loss:4.18089 lr:0.000013
step:32001 source:(201, 18) loss:4.12104 lr:0.000013
