train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/yahoo.bsize64.epoch150.seqlen16.random.present0.5.partition2.hidden512/
step:19201 source:(64, 18) loss:3.78569 lr:0.000035
step:19401 source:(64, 18) loss:3.79637 lr:0.000035
step:19601 source:(64, 18) loss:3.64127 lr:0.000035
step:19801 source:(64, 18) loss:3.66486 lr:0.000035
step:20001 source:(64, 18) loss:3.8158 lr:0.000035
step:20201 source:(64, 18) loss:3.75558 lr:0.000035
step:20401 source:(64, 18) loss:3.73512 lr:0.000035
step:20601 source:(64, 18) loss:3.7083 lr:0.000035
step:20801 source:(64, 18) loss:3.74853 lr:0.000035
step:21001 source:(64, 18) loss:3.73424 lr:0.000035
step:21201 source:(64, 18) loss:3.69136 lr:0.000035
step:21401 source:(64, 18) loss:3.70173 lr:0.000035
step:21601 source:(64, 18) loss:3.79616 lr:0.000035
step:21801 source:(64, 18) loss:3.68435 lr:0.000035
step:22001 source:(64, 18) loss:3.7622 lr:0.000035
step:22201 source:(64, 18) loss:3.70614 lr:0.000035
step:22401 source:(64, 18) loss:3.70093 lr:0.000035
step:22601 source:(64, 18) loss:3.78337 lr:0.000035
step:22801 source:(64, 18) loss:3.7102 lr:0.000035
step:23001 source:(64, 18) loss:3.74882 lr:0.000035
step:23201 source:(64, 18) loss:3.71953 lr:0.000035
step:23401 source:(64, 18) loss:3.7617 lr:0.000035
epoch:15 test_present_rate:0.5 test_bleu:43.38596165180206 template_bleu:41.489097476005554
epoch:15 test_present_rate:0.5 train_bleu:43.4318482875824 template_bleu:41.08782410621643
step:23601 source:(64, 18) loss:3.75389 lr:0.000035
step:23801 source:(64, 18) loss:3.78883 lr:0.000035
step:24001 source:(64, 18) loss:3.73251 lr:0.000035
step:24201 source:(64, 18) loss:3.67167 lr:0.000035
step:24401 source:(64, 18) loss:3.69294 lr:0.000035
step:24601 source:(64, 18) loss:3.78521 lr:0.000035
step:24801 source:(64, 18) loss:3.73472 lr:0.000035
step:25001 source:(64, 18) loss:3.78822 lr:0.000035
step:25201 source:(64, 18) loss:3.78068 lr:0.000035
step:25401 source:(64, 18) loss:3.81347 lr:0.000035
step:25601 source:(64, 18) loss:3.74746 lr:0.000035
step:25801 source:(64, 18) loss:3.72096 lr:0.000035
step:26001 source:(64, 18) loss:3.72404 lr:0.000035
step:26201 source:(64, 18) loss:3.7357 lr:0.000035
step:26401 source:(64, 18) loss:3.67075 lr:0.000035
step:26601 source:(64, 18) loss:3.54808 lr:0.000035
step:26801 source:(64, 18) loss:3.7988 lr:0.000035
step:27001 source:(64, 18) loss:3.82067 lr:0.000035
step:27201 source:(64, 18) loss:3.68833 lr:0.000035
step:27401 source:(64, 18) loss:3.68558 lr:0.000035
step:27601 source:(64, 18) loss:3.79101 lr:0.000035
step:27801 source:(64, 18) loss:3.78899 lr:0.000035
step:28001 source:(64, 18) loss:3.62413 lr:0.000035
step:28201 source:(64, 18) loss:3.63266 lr:0.000035
step:28401 source:(64, 18) loss:3.71796 lr:0.000035
step:28601 source:(64, 18) loss:3.73644 lr:0.000035
step:28801 source:(64, 18) loss:3.66118 lr:0.000035
step:29001 source:(64, 18) loss:3.67582 lr:0.000035
step:29201 source:(64, 18) loss:3.55756 lr:0.000035
step:29401 source:(64, 18) loss:3.76443 lr:0.000035
step:29601 source:(64, 18) loss:3.79596 lr:0.000035
step:29801 source:(64, 18) loss:3.83894 lr:0.000035
step:30001 source:(64, 18) loss:3.69809 lr:0.000035
step:30201 source:(64, 18) loss:3.73447 lr:0.000035
step:30401 source:(64, 18) loss:3.56523 lr:0.000035
step:30601 source:(64, 18) loss:3.71344 lr:0.000035
