train_file:/home/syp/zwr/txtgen/examples/long_text/nmt_data.medium/nmt.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/nmt_data.medium/nmt.valid.txt
logdir:./log_dir/nmt.bsize400.epoch150.seqlen16.random.present0.5.partition2.hidden512.seq2seq/
step:25801 source:(400, 18) loss:3.32644
step:26001 source:(400, 18) loss:3.26502
step:26201 source:(400, 18) loss:3.25367
step:26401 source:(400, 18) loss:3.31438
step:26601 source:(400, 18) loss:3.32164
step:26801 source:(400, 18) loss:3.28193
step:27001 source:(400, 18) loss:3.33935
step:27201 source:(400, 18) loss:3.32136
step:27401 source:(400, 18) loss:3.26054
step:27601 source:(400, 18) loss:3.27101
step:27801 source:(400, 18) loss:3.2958
step:28001 source:(400, 18) loss:3.29523
step:28201 source:(400, 18) loss:3.32299
step:28401 source:(400, 18) loss:3.29776
step:28601 source:(400, 18) loss:3.26884
step:28801 source:(400, 18) loss:3.2381
step:29001 source:(400, 18) loss:3.2946
step:29201 source:(400, 18) loss:3.29211
step:29401 source:(400, 18) loss:3.29694
step:29601 source:(400, 18) loss:3.26474
step:29801 source:(400, 18) loss:3.26944
step:30001 source:(400, 18) loss:3.27003
step:30201 source:(400, 18) loss:3.23231
step:30401 source:(400, 18) loss:3.23699
step:30601 source:(400, 18) loss:3.23668
step:30801 source:(400, 18) loss:3.27288
step:31001 source:(400, 18) loss:3.22135
step:31201 source:(400, 18) loss:3.26509
epoch:25 test_bleu:44.71846520900726 template_bleu:43.46520006656647
epoch:25 train_bleu:52.01652646064758 template_bleu:45.710283517837524
step:31401 source:(400, 18) loss:3.26602
step:31601 source:(400, 18) loss:3.329
step:31801 source:(400, 18) loss:3.22971
step:32001 source:(400, 18) loss:3.2946
step:32201 source:(400, 18) loss:3.29756
step:32401 source:(400, 18) loss:3.22599
step:32601 source:(400, 18) loss:3.22283
step:32801 source:(400, 18) loss:3.2456
step:33001 source:(400, 18) loss:3.23475
step:33201 source:(400, 18) loss:3.2927
step:33401 source:(400, 18) loss:3.25987
step:33601 source:(400, 18) loss:3.25546
step:33801 source:(400, 18) loss:3.24961
step:34001 source:(400, 18) loss:3.28759
step:34201 source:(400, 18) loss:3.2813
step:34401 source:(400, 18) loss:3.25287
step:34601 source:(400, 18) loss:3.23281
step:34801 source:(400, 18) loss:3.25187
step:35001 source:(400, 18) loss:3.22998
step:35201 source:(400, 18) loss:3.21402
step:35401 source:(400, 18) loss:3.23079
step:35601 source:(400, 18) loss:3.23456
step:35801 source:(400, 18) loss:3.26138
step:36001 source:(400, 18) loss:3.21904
step:36201 source:(400, 18) loss:3.23145
step:36401 source:(400, 18) loss:3.25102
step:36601 source:(400, 18) loss:3.28473
step:36801 source:(400, 18) loss:3.22888
step:37001 source:(400, 18) loss:3.27423
step:37201 source:(400, 18) loss:3.27939
step:37401 source:(400, 18) loss:3.20249
epoch:30 test_bleu:44.93703544139862 template_bleu:43.73103678226471
epoch:30 train_bleu:52.62935161590576 template_bleu:45.715731382369995
step:37601 source:(400, 18) loss:3.22545
step:37801 source:(400, 18) loss:3.25429
step:38001 source:(400, 18) loss:3.23504
step:38201 source:(400, 18) loss:3.30335
step:38401 source:(400, 18) loss:3.25873
step:38601 source:(400, 18) loss:3.2468
step:38801 source:(400, 18) loss:3.2325
step:39001 source:(400, 18) loss:3.23779
step:39201 source:(400, 18) loss:3.25593
step:39401 source:(400, 18) loss:3.26799
step:39601 source:(400, 18) loss:3.22922
step:39801 source:(400, 18) loss:3.27479
step:40001 source:(400, 18) loss:3.23101
step:40201 source:(400, 18) loss:3.1828
step:40401 source:(400, 18) loss:3.23399
step:40601 source:(400, 18) loss:3.19944
step:40801 source:(400, 18) loss:3.2644
step:41001 source:(400, 18) loss:3.18851
step:41201 source:(400, 18) loss:3.25603
step:41401 source:(400, 18) loss:3.22638
step:41601 source:(400, 18) loss:3.28591
step:41801 source:(400, 18) loss:3.22811
step:42001 source:(400, 18) loss:3.27224
step:42201 source:(400, 18) loss:3.25454
step:42401 source:(400, 18) loss:3.18395
step:42601 source:(400, 18) loss:3.20925
step:42801 source:(400, 18) loss:3.2195
step:43001 source:(400, 18) loss:3.21741
step:43201 source:(400, 18) loss:3.25014
step:43401 source:(400, 18) loss:3.25762
step:43601 source:(400, 18) loss:3.24166
epoch:35 test_bleu:44.41319406032562 template_bleu:43.413081765174866
epoch:35 train_bleu:52.5896430015564 template_bleu:45.73860764503479
step:43801 source:(400, 18) loss:3.23053
step:44001 source:(400, 18) loss:3.24641
step:44201 source:(400, 18) loss:3.25701
step:44401 source:(400, 18) loss:3.24466
step:44601 source:(400, 18) loss:3.22527
step:44801 source:(400, 18) loss:3.23727
step:45001 source:(400, 18) loss:3.18863
step:45201 source:(400, 18) loss:3.19813
step:45401 source:(400, 18) loss:3.22086
step:45601 source:(400, 18) loss:3.18922
step:45801 source:(400, 18) loss:3.23545
step:46001 source:(400, 18) loss:3.18357
step:46201 source:(400, 18) loss:3.23758
step:46401 source:(400, 18) loss:3.24758
step:46601 source:(400, 18) loss:3.26493
step:46801 source:(400, 18) loss:3.20082
step:47001 source:(400, 18) loss:3.23724
step:47201 source:(400, 18) loss:3.22861
step:47401 source:(400, 18) loss:3.20548
step:47601 source:(400, 18) loss:3.217
step:47801 source:(400, 18) loss:3.21837
step:48001 source:(400, 18) loss:3.2292
step:48201 source:(400, 18) loss:3.26608
step:48401 source:(400, 18) loss:3.24319
step:48601 source:(400, 18) loss:3.20614
step:48801 source:(400, 18) loss:3.198
step:49001 source:(400, 18) loss:3.23053
step:49201 source:(400, 18) loss:3.24944
step:49401 source:(400, 18) loss:3.25353
step:49601 source:(400, 18) loss:3.17493
step:49801 source:(400, 18) loss:3.2303
epoch:40 test_bleu:44.674500823020935 template_bleu:43.35179924964905
epoch:40 train_bleu:52.969521284103394 template_bleu:45.71378231048584
step:50001 source:(400, 18) loss:3.18115
step:50201 source:(400, 18) loss:3.15977
step:50401 source:(400, 18) loss:3.20961
