train_file:/home/syp/zwr/txtgen/examples/long_text/nmt_data.medium/nmt.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/nmt_data.medium/nmt.valid.txt
logdir:./log_dir/nmt.bsize400.epoch300.seqlen16.fixed.present0.5.partition2.hidden512/
epoch:15 test_present_rate:0.5 train_bleu:46.81612253189087 template_bleu:44.30021941661835
step:18801 source:(400, 18) loss:5.19968 lr:0.000221
step:19001 source:(400, 18) loss:6.21287 lr:0.000221
step:19201 source:(400, 18) loss:5.15302 lr:0.000221
step:19401 source:(400, 18) loss:5.07524 lr:0.000221
step:19601 source:(400, 18) loss:4.98387 lr:0.000221
step:19801 source:(400, 18) loss:4.99437 lr:0.000221
step:20001 source:(400, 18) loss:5.01968 lr:0.000221
step:20201 source:(400, 18) loss:4.90066 lr:0.000221
step:20401 source:(400, 18) loss:4.98899 lr:0.000221
step:20601 source:(400, 18) loss:4.90806 lr:0.000221
step:20801 source:(400, 18) loss:4.94519 lr:0.000221
step:21001 source:(400, 18) loss:4.88472 lr:0.000221
step:21201 source:(400, 18) loss:4.92484 lr:0.000221
step:21401 source:(400, 18) loss:4.98896 lr:0.000221
step:21601 source:(400, 18) loss:5.00699 lr:0.000221
step:21801 source:(400, 18) loss:4.92644 lr:0.000221
step:22001 source:(400, 18) loss:4.95164 lr:0.000221
step:22201 source:(400, 18) loss:4.9078 lr:0.000221
step:22401 source:(400, 18) loss:5.95756 lr:0.000221
step:22601 source:(400, 18) loss:5.20177 lr:0.000221
step:22801 source:(400, 18) loss:5.04967 lr:0.000221
step:23001 source:(400, 18) loss:5.03463 lr:0.000221
step:23201 source:(400, 18) loss:5.07514 lr:0.000221
step:23401 source:(400, 18) loss:4.99237 lr:0.000221
step:23601 source:(400, 18) loss:4.98722 lr:0.000221
step:23801 source:(400, 18) loss:4.9234 lr:0.000221
step:24001 source:(400, 18) loss:4.9372 lr:0.000221
step:24201 source:(400, 18) loss:4.95201 lr:0.000221
step:24401 source:(400, 18) loss:4.89508 lr:0.000221
step:24601 source:(400, 18) loss:4.87748 lr:0.000221
step:24801 source:(400, 18) loss:5.00328 lr:0.000221
epoch:20 test_present_rate:0.5 test_bleu:32.98409581184387 template_bleu:41.89579486846924
epoch:20 test_present_rate:0.5 train_bleu:37.76456415653229 template_bleu:44.30021941661835
step:25001 source:(400, 18) loss:4.92608 lr:0.000221
step:25201 source:(400, 18) loss:4.83212 lr:0.000221
step:25401 source:(400, 18) loss:4.90651 lr:0.000221
step:25601 source:(400, 18) loss:4.84316 lr:0.000221
step:25801 source:(400, 18) loss:4.87811 lr:0.000221
step:26001 source:(400, 18) loss:4.81663 lr:0.000221
step:26201 source:(400, 18) loss:4.88458 lr:0.000221
step:26401 source:(400, 18) loss:4.94212 lr:0.000221
step:26601 source:(400, 18) loss:8.35131 lr:0.000221
step:26801 source:(400, 18) loss:6.76097 lr:0.000221
step:27001 source:(400, 18) loss:6.64935 lr:0.000221
step:27201 source:(400, 18) loss:6.40094 lr:0.000221
step:27401 source:(400, 18) loss:6.60996 lr:0.000221
step:27601 source:(400, 18) loss:6.50971 lr:0.000221
step:27801 source:(400, 18) loss:6.43651 lr:0.000221
step:28001 source:(400, 18) loss:6.42119 lr:0.000221
step:28201 source:(400, 18) loss:6.46828 lr:0.000221
step:28401 source:(400, 18) loss:6.38156 lr:0.000221
step:28601 source:(400, 18) loss:6.30752 lr:0.000221
step:28801 source:(400, 18) loss:6.21868 lr:0.000221
step:29001 source:(400, 18) loss:6.23542 lr:0.000221
step:29201 source:(400, 18) loss:6.24622 lr:0.000221
step:29401 source:(400, 18) loss:6.16337 lr:0.000221
step:29601 source:(400, 18) loss:5.0895 lr:0.000221
step:29801 source:(400, 18) loss:4.94696 lr:0.000221
step:30001 source:(400, 18) loss:4.95402 lr:0.000221
step:30201 source:(400, 18) loss:4.82277 lr:0.000221
step:30401 source:(400, 18) loss:4.91118 lr:0.000221
step:30601 source:(400, 18) loss:4.87467 lr:0.000221
step:30801 source:(400, 18) loss:4.95796 lr:0.000221
step:31001 source:(400, 18) loss:4.84837 lr:0.000221
step:31201 source:(400, 18) loss:4.88187 lr:0.000221
epoch:25 test_present_rate:0.5 test_bleu:36.162954568862915 template_bleu:41.89579486846924
epoch:25 test_present_rate:0.5 train_bleu:41.843315958976746 template_bleu:44.30021941661835
step:31401 source:(400, 18) loss:5.00719 lr:0.000221
step:31601 source:(400, 18) loss:5.00566 lr:0.000221
step:31801 source:(400, 18) loss:4.92929 lr:0.000221
step:32001 source:(400, 18) loss:6.49829 lr:0.000221
step:32201 source:(400, 18) loss:6.22849 lr:0.000221
step:32401 source:(400, 18) loss:6.22553 lr:0.000221
step:32601 source:(400, 18) loss:6.20578 lr:0.000221
step:32801 source:(400, 18) loss:6.10406 lr:0.000221
step:33001 source:(400, 18) loss:6.13546 lr:0.000221
step:33201 source:(400, 18) loss:6.15599 lr:0.000221
step:33401 source:(400, 18) loss:6.08214 lr:0.000221
step:33601 source:(400, 18) loss:6.01293 lr:0.000221
step:33801 source:(400, 18) loss:5.96504 lr:0.000221
step:34001 source:(400, 18) loss:6.01813 lr:0.000221
step:34201 source:(400, 18) loss:6.01664 lr:0.000221
step:34401 source:(400, 18) loss:5.9585 lr:0.000221
step:34601 source:(400, 18) loss:5.93207 lr:0.000221
step:34801 source:(400, 18) loss:5.88079 lr:0.000221
step:35001 source:(400, 18) loss:5.94607 lr:0.000221
step:35201 source:(400, 18) loss:5.75358 lr:0.000221
step:35401 source:(400, 18) loss:5.75571 lr:0.000221
step:35601 source:(400, 18) loss:4.97591 lr:0.000221
step:35801 source:(400, 18) loss:4.98065 lr:0.000221
step:36001 source:(400, 18) loss:5.03401 lr:0.000221
step:36201 source:(400, 18) loss:4.921 lr:0.000221
step:36401 source:(400, 18) loss:4.98607 lr:0.000221
step:36601 source:(400, 18) loss:5.0272 lr:0.000221
step:36801 source:(400, 18) loss:4.93896 lr:0.000221
step:37001 source:(400, 18) loss:4.97829 lr:0.000221
step:37201 source:(400, 18) loss:4.91745 lr:0.000221
step:37401 source:(400, 18) loss:4.91487 lr:0.000221
epoch:30 test_present_rate:0.5 test_bleu:32.470983266830444 template_bleu:41.89579486846924
epoch:30 test_present_rate:0.5 train_bleu:37.34726011753082 template_bleu:44.30021941661835
step:37601 source:(400, 18) loss:4.93549 lr:0.000221
step:37801 source:(400, 18) loss:4.97031 lr:0.000221
step:38001 source:(400, 18) loss:4.92485 lr:0.000221
step:38201 source:(400, 18) loss:4.99362 lr:0.000221
step:38401 source:(400, 18) loss:5.05918 lr:0.000221
step:38601 source:(400, 18) loss:4.94019 lr:0.000221
step:38801 source:(400, 18) loss:4.9246 lr:0.000221
step:39001 source:(400, 18) loss:4.89966 lr:0.000221
step:39201 source:(400, 18) loss:4.94245 lr:0.000221
step:39401 source:(400, 18) loss:4.90118 lr:0.000221
step:39601 source:(400, 18) loss:4.87355 lr:0.000221
step:39801 source:(400, 18) loss:4.86775 lr:0.000221
step:40001 source:(400, 18) loss:4.9067 lr:0.000221
step:40201 source:(400, 18) loss:4.8002 lr:0.000221
step:40401 source:(400, 18) loss:4.90264 lr:0.000221
step:40601 source:(400, 18) loss:4.81087 lr:0.000221
step:40801 source:(400, 18) loss:4.91224 lr:0.000221
step:41001 source:(400, 18) loss:4.84801 lr:0.000221
step:41201 source:(400, 18) loss:4.9279 lr:0.000221
step:41401 source:(400, 18) loss:4.92001 lr:0.000221
step:41601 source:(400, 18) loss:5.00105 lr:0.000221
step:41801 source:(400, 18) loss:7.5515 lr:0.000221
step:42001 source:(400, 18) loss:5.07899 lr:0.000221
step:42201 source:(400, 18) loss:6.66128 lr:0.000221
step:42401 source:(400, 18) loss:4.96201 lr:0.000221
step:42601 source:(400, 18) loss:4.95738 lr:0.000221
step:42801 source:(400, 18) loss:4.94558 lr:0.000221
step:43001 source:(400, 18) loss:4.92054 lr:0.000221
step:43201 source:(400, 18) loss:4.97678 lr:0.000221
step:43401 source:(400, 18) loss:4.91963 lr:0.000221
step:43601 source:(400, 18) loss:4.87471 lr:0.000221
epoch:35 test_present_rate:0.5 test_bleu:30.290046334266663 template_bleu:41.89579486846924
epoch:35 test_present_rate:0.5 train_bleu:35.66736876964569 template_bleu:44.30021941661835
step:43801 source:(400, 18) loss:4.89393 lr:0.000221
step:44001 source:(400, 18) loss:4.88658 lr:0.000221
step:44201 source:(400, 18) loss:4.92841 lr:0.000221
step:44401 source:(400, 18) loss:4.86021 lr:0.000221
step:44601 source:(400, 18) loss:4.94355 lr:0.000221
step:44801 source:(400, 18) loss:4.87321 lr:0.000221
step:45001 source:(400, 18) loss:4.89209 lr:0.000221
step:45201 source:(400, 18) loss:4.79807 lr:0.000221
step:45401 source:(400, 18) loss:4.86184 lr:0.000221
step:45601 source:(400, 18) loss:4.83215 lr:0.000221
step:45801 source:(400, 18) loss:4.91138 lr:0.000221
step:46001 source:(400, 18) loss:4.80089 lr:0.000221
step:46201 source:(400, 18) loss:4.87183 lr:0.000221
step:46401 source:(400, 18) loss:4.95535 lr:0.000221
step:46601 source:(400, 18) loss:4.97054 lr:0.000221
step:46801 source:(400, 18) loss:4.91899 lr:0.000221
step:47001 source:(400, 18) loss:4.9786 lr:0.000221
step:47201 source:(400, 18) loss:4.89161 lr:0.000221
step:47401 source:(400, 18) loss:4.88961 lr:0.000221
step:47601 source:(400, 18) loss:4.91404 lr:0.000221
step:47801 source:(400, 18) loss:4.88053 lr:0.000221
step:48001 source:(400, 18) loss:4.90122 lr:0.000221
step:48201 source:(400, 18) loss:4.95966 lr:0.000221
step:48401 source:(400, 18) loss:4.91075 lr:0.000221
step:48601 source:(400, 18) loss:4.87597 lr:0.000221
step:48801 source:(400, 18) loss:4.85978 lr:0.000221
step:49001 source:(400, 18) loss:4.85771 lr:0.000221
step:49201 source:(400, 18) loss:4.89443 lr:0.000221
step:49401 source:(400, 18) loss:4.86423 lr:0.000221
step:49601 source:(400, 18) loss:4.84468 lr:0.000221
step:49801 source:(400, 18) loss:4.84037 lr:0.000221
epoch:40 test_present_rate:0.5 test_bleu:26.38467252254486 template_bleu:41.89579486846924
epoch:40 test_present_rate:0.5 train_bleu:32.17669725418091 template_bleu:44.30021941661835
step:50001 source:(400, 18) loss:4.8743 lr:0.000221
step:50201 source:(400, 18) loss:4.78531 lr:0.000221
step:50401 source:(400, 18) loss:4.86267 lr:0.000221
step:50601 source:(400, 18) loss:4.78002 lr:0.000221
step:50801 source:(400, 18) loss:4.86813 lr:0.000221
step:51001 source:(400, 18) loss:4.78024 lr:0.000221
step:51201 source:(400, 18) loss:4.88335 lr:0.000221
step:51401 source:(400, 18) loss:4.91563 lr:0.000221
step:51601 source:(400, 18) loss:4.97916 lr:0.000221
step:51801 source:(400, 18) loss:4.88475 lr:0.000221
step:52001 source:(400, 18) loss:5.05403 lr:0.000221
step:52201 source:(400, 18) loss:5.08806 lr:0.000221
step:52401 source:(400, 18) loss:4.95022 lr:0.000221
step:52601 source:(400, 18) loss:4.94311 lr:0.000221
step:52801 source:(400, 18) loss:4.94646 lr:0.000221
step:53001 source:(400, 18) loss:4.88371 lr:0.000221
step:53201 source:(400, 18) loss:4.9565 lr:0.000221
step:53401 source:(400, 18) loss:4.9303 lr:0.000221
step:53601 source:(400, 18) loss:4.88327 lr:0.000221
step:53801 source:(400, 18) loss:4.85003 lr:0.000221
step:54001 source:(400, 18) loss:4.85969 lr:0.000221
step:54201 source:(400, 18) loss:4.88749 lr:0.000221
step:54401 source:(400, 18) loss:4.86733 lr:0.000221
step:54601 source:(400, 18) loss:4.95813 lr:0.000221
step:54801 source:(400, 18) loss:4.9187 lr:0.000221
step:55001 source:(400, 18) loss:4.94442 lr:0.000221
step:55201 source:(400, 18) loss:4.93364 lr:0.000221
step:55401 source:(400, 18) loss:4.94518 lr:0.000221
step:55601 source:(400, 18) loss:4.86631 lr:0.000221
step:55801 source:(400, 18) loss:4.93994 lr:0.000221
step:56001 source:(400, 18) loss:4.85215 lr:0.000221
step:56201 source:(400, 18) loss:4.9199 lr:0.000221
epoch:45 test_present_rate:0.5 test_bleu:28.719651699066162 template_bleu:41.89579486846924
epoch:45 test_present_rate:0.5 train_bleu:34.20814275741577 template_bleu:44.30021941661835
step:56401 source:(400, 18) loss:4.94503 lr:0.000221
step:56601 source:(400, 18) loss:4.99852 lr:0.000221
step:56801 source:(400, 18) loss:4.90493 lr:0.000221
step:57001 source:(400, 18) loss:4.96356 lr:0.000221
step:57201 source:(400, 18) loss:4.9059 lr:0.000221
step:57401 source:(400, 18) loss:4.8949 lr:0.000221
step:57601 source:(400, 18) loss:4.907 lr:0.000221
