train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/yahoo.bsize200.epoch150.seqlen16.random.present0.5.partition2.hidden1024/
step:18601 source:(200, 18) loss:3.98552 lr:0.000078
step:18801 source:(200, 18) loss:3.95886 lr:0.000078
step:19001 source:(200, 18) loss:3.89445 lr:0.000078
step:19201 source:(200, 18) loss:4.01025 lr:0.000078
step:19401 source:(200, 18) loss:3.91955 lr:0.000078
step:19601 source:(200, 18) loss:3.98518 lr:0.000078
step:19801 source:(200, 18) loss:3.92107 lr:0.000078
epoch:40 test_present_rate:0.5 test_bleu:43.7211811542511 template_bleu:41.48683249950409
step:20001 source:(200, 18) loss:3.93618 lr:0.000078
step:20201 source:(200, 18) loss:3.92711 lr:0.000078
step:20401 source:(200, 18) loss:3.93311 lr:0.000078
step:20601 source:(200, 18) loss:3.92612 lr:0.000078
step:20801 source:(200, 18) loss:3.9346 lr:0.000078
step:21001 source:(200, 18) loss:3.94635 lr:0.000008
step:21201 source:(200, 18) loss:3.86518 lr:0.000008
step:21401 source:(200, 18) loss:3.88816 lr:0.000008
step:21601 source:(200, 18) loss:3.87414 lr:0.000008
step:21801 source:(200, 18) loss:3.89255 lr:0.000008
step:22001 source:(200, 18) loss:3.89079 lr:0.000008
step:22201 source:(200, 18) loss:3.92497 lr:0.000008
step:22401 source:(200, 18) loss:3.87499 lr:0.000008
epoch:45 test_present_rate:0.5 test_bleu:43.57147514820099 template_bleu:41.390275955200195
step:22601 source:(200, 18) loss:3.93001 lr:0.000008
step:22801 source:(200, 18) loss:3.86469 lr:0.000008
step:23001 source:(200, 18) loss:3.86718 lr:0.000008
step:23201 source:(200, 18) loss:3.89779 lr:0.000008
step:23401 source:(200, 18) loss:3.84711 lr:0.000008
step:23601 source:(200, 18) loss:3.9135 lr:0.000008
step:23801 source:(200, 18) loss:3.83439 lr:0.000008
step:24001 source:(200, 18) loss:3.85655 lr:0.000008
step:24201 source:(200, 18) loss:3.89871 lr:0.000008
step:24401 source:(200, 18) loss:3.88779 lr:0.000008
step:24601 source:(200, 18) loss:3.90306 lr:0.000008
step:24801 source:(200, 18) loss:3.88336 lr:0.000008
epoch:50 test_present_rate:0.5 test_bleu:43.65539252758026 template_bleu:41.19228720664978
step:25001 source:(200, 18) loss:3.88487 lr:0.000008
step:25201 source:(200, 18) loss:3.87872 lr:0.000008
step:25401 source:(200, 18) loss:3.85559 lr:0.000008
step:25601 source:(200, 18) loss:3.9056 lr:0.000008
step:25801 source:(200, 18) loss:3.83623 lr:0.000008
step:26001 source:(200, 18) loss:3.86745 lr:0.000008
step:26201 source:(200, 18) loss:3.90375 lr:0.000008
step:26401 source:(200, 18) loss:3.87739 lr:0.000008
step:26601 source:(200, 18) loss:3.91432 lr:0.000008
step:26801 source:(200, 18) loss:3.86849 lr:0.000008
step:27001 source:(200, 18) loss:3.88438 lr:0.000008
step:27201 source:(200, 18) loss:3.88962 lr:0.000008
