train_file:/home/syp/zwr/txtgen/examples/long_text/nmt_data.medium/nmt.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/nmt_data.medium/nmt.valid.txt
logdir:./log_dir/nmt.bsize400.epoch150.seqlen16.random.present0.5.partition2.hidden512/
epoch:15 test_present_rate:0.5 train_bleu:50.18454194068909 template_bleu:45.65402269363403
step:18801 source:(400, 18) loss:3.3983 lr:0.000035
step:19001 source:(400, 18) loss:3.41413 lr:0.000035
step:19201 source:(400, 18) loss:3.40745 lr:0.000035
step:19401 source:(400, 18) loss:3.44208 lr:0.000035
step:19601 source:(400, 18) loss:3.39717 lr:0.000035
step:19801 source:(400, 18) loss:3.39967 lr:0.000035
step:20001 source:(400, 18) loss:3.38281 lr:0.000035
step:20201 source:(400, 18) loss:3.32888 lr:0.000035
step:20401 source:(400, 18) loss:3.36325 lr:0.000035
step:20601 source:(400, 18) loss:3.379 lr:0.000035
step:20801 source:(400, 18) loss:3.41834 lr:0.000035
step:21001 source:(400, 18) loss:3.34544 lr:0.000035
step:21201 source:(400, 18) loss:3.38068 lr:0.000035
step:21401 source:(400, 18) loss:3.38972 lr:0.000035
step:21601 source:(400, 18) loss:3.45054 lr:0.000035
step:21801 source:(400, 18) loss:3.36075 lr:0.000035
step:22001 source:(400, 18) loss:3.42796 lr:0.000035
step:22201 source:(400, 18) loss:3.40045 lr:0.000035
step:22401 source:(400, 18) loss:3.35896 lr:0.000035
step:22601 source:(400, 18) loss:3.39778 lr:0.000035
step:22801 source:(400, 18) loss:3.37556 lr:0.000035
step:23001 source:(400, 18) loss:3.3683 lr:0.000035
step:23201 source:(400, 18) loss:3.41204 lr:0.000035
step:23401 source:(400, 18) loss:3.39069 lr:0.000035
step:23601 source:(400, 18) loss:3.35559 lr:0.000035
step:23801 source:(400, 18) loss:3.36042 lr:0.000035
step:24001 source:(400, 18) loss:3.38379 lr:0.000035
step:24201 source:(400, 18) loss:3.40058 lr:0.000035
step:24401 source:(400, 18) loss:3.40309 lr:0.000035
step:24601 source:(400, 18) loss:3.39841 lr:0.000035
step:24801 source:(400, 18) loss:3.3515 lr:0.000035
epoch:20 test_present_rate:0.5 test_bleu:45.931169390678406 template_bleu:43.55309307575226
epoch:20 test_present_rate:0.5 train_bleu:50.665682554244995 template_bleu:45.66030204296112
step:25001 source:(400, 18) loss:3.40243 lr:0.000035
step:25201 source:(400, 18) loss:3.30738 lr:0.000035
step:25401 source:(400, 18) loss:3.33372 lr:0.000035
step:25601 source:(400, 18) loss:3.36054 lr:0.000035
step:25801 source:(400, 18) loss:3.38046 lr:0.000035
step:26001 source:(400, 18) loss:3.34103 lr:0.000035
step:26201 source:(400, 18) loss:3.36479 lr:0.000035
