train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/yahoo.bsize128.epoch150.seqlen16.random.present0.5.partition2.hidden512.seq2seq/
step:24601 source:(128, 18) loss:3.72506
step:24801 source:(128, 18) loss:3.62004
step:25001 source:(128, 18) loss:3.69277
step:25201 source:(128, 18) loss:3.67844
step:25401 source:(128, 18) loss:3.72032
step:25601 source:(128, 18) loss:3.61512
step:25801 source:(128, 18) loss:3.59617
step:26001 source:(128, 18) loss:3.61637
step:26201 source:(128, 18) loss:3.7027
step:26401 source:(128, 18) loss:3.58913
step:26601 source:(128, 18) loss:3.68304
step:26801 source:(128, 18) loss:3.68119
step:27001 source:(128, 18) loss:3.66138
step:27201 source:(128, 18) loss:3.57896
epoch:35 test_bleu:43.917107582092285 template_bleu:41.198140382766724
epoch:35 train_bleu:44.502222537994385 template_bleu:41.29416048526764
step:27401 source:(128, 18) loss:3.59147
step:27601 source:(128, 18) loss:3.61092
step:27801 source:(128, 18) loss:3.64604
step:28001 source:(128, 18) loss:3.58199
step:28201 source:(128, 18) loss:3.67723
step:28401 source:(128, 18) loss:3.55955
step:28601 source:(128, 18) loss:3.62121
step:28801 source:(128, 18) loss:3.60757
step:29001 source:(128, 18) loss:3.62855
step:29201 source:(128, 18) loss:3.56395
step:29401 source:(128, 18) loss:3.62228
step:29601 source:(128, 18) loss:3.5933
step:29801 source:(128, 18) loss:3.65281
step:30001 source:(128, 18) loss:3.64784
step:30201 source:(128, 18) loss:3.60045
step:30401 source:(128, 18) loss:3.56049
step:30601 source:(128, 18) loss:3.58684
step:30801 source:(128, 18) loss:3.64152
step:31001 source:(128, 18) loss:3.61696
step:31201 source:(128, 18) loss:3.65163
epoch:40 test_bleu:44.12205517292023 template_bleu:41.53583645820618
epoch:40 train_bleu:44.438743591308594 template_bleu:41.305458545684814
step:31401 source:(128, 18) loss:3.63127
